# OWD receiver: Rx2-OWD  port=5002
[1781006068.593697] seq=265 owd=10.058 ms
[1781006068.613623] seq=266 owd=10.051 ms
[1781006068.633758] seq=267 owd=10.054 ms
[1781006068.653596] seq=268 owd=10.038 ms
[1781006068.673587] seq=269 owd=10.032 ms
[1781006068.693696] seq=270 owd=10.053 ms
[1781006068.713598] seq=271 owd=10.036 ms
[1781006068.733601] seq=272 owd=10.042 ms
[1781006068.753703] seq=273 owd=10.053 ms
[1781006068.773723] seq=274 owd=10.054 ms
[1781006068.793694] seq=275 owd=10.053 ms
[1781006068.813594] seq=276 owd=10.040 ms
[1781006068.833685] seq=277 owd=10.040 ms
[1781006068.853725] seq=278 owd=10.050 ms
[1781006068.873593] seq=279 owd=10.037 ms
[1781006068.893704] seq=280 owd=10.065 ms
[1781006068.913696] seq=281 owd=10.054 ms
[1781006068.933594] seq=282 owd=10.038 ms
[1781006068.953593] seq=283 owd=10.039 ms
[1781006068.973636] seq=284 owd=10.064 ms
[1781006068.993598] seq=285 owd=10.038 ms
[1781006069.013593] seq=286 owd=10.038 ms
[1781006069.033794] seq=287 owd=10.145 ms
[1781006069.053764] seq=288 owd=10.124 ms
[1781006069.073669] seq=289 owd=10.113 ms
[1781006069.093769] seq=290 owd=10.126 ms
[1781006069.113801] seq=291 owd=10.134 ms
[1781006069.133687] seq=292 owd=10.128 ms
[1781006069.153701] seq=293 owd=10.132 ms
[1781006069.173760] seq=294 owd=10.114 ms
[1781006069.213667] seq=296 owd=10.111 ms
[1781006069.233769] seq=297 owd=10.126 ms
[1781006069.253667] seq=298 owd=10.112 ms
[1781006069.273672] seq=299 owd=10.117 ms
[1781006069.293703] seq=300 owd=10.136 ms
[1781006069.313710] seq=301 owd=10.135 ms
[1781006069.333670] seq=302 owd=10.113 ms
[1781006069.353669] seq=303 owd=10.113 ms
[1781006069.373713] seq=304 owd=10.071 ms
[1781006069.393720] seq=305 owd=10.063 ms
[1781006069.413602] seq=306 owd=10.045 ms
[1781006069.433693] seq=307 owd=10.055 ms
[1781006069.453597] seq=308 owd=10.038 ms
[1781006069.473595] seq=309 owd=10.038 ms
[1781006069.493592] seq=310 owd=10.037 ms
[1781006069.513605] seq=311 owd=10.048 ms
[1781006069.533748] seq=312 owd=10.134 ms
[1781006069.553617] seq=313 owd=10.056 ms
[1781006069.573641] seq=314 owd=10.070 ms
[1781006069.593637] seq=315 owd=10.062 ms
[1781006069.613681] seq=316 owd=10.122 ms
[1781006069.633773] seq=317 owd=10.125 ms
[1781006069.653610] seq=318 owd=10.054 ms
[1781006069.673607] seq=319 owd=10.050 ms
[1781006069.693794] seq=320 owd=10.156 ms
[1781006069.713601] seq=321 owd=10.040 ms
[1781006069.733590] seq=322 owd=10.034 ms
[1781006069.753591] seq=323 owd=10.034 ms
[1781006069.773606] seq=324 owd=10.048 ms
[1781006069.793724] seq=325 owd=10.067 ms
[1781006069.813668] seq=326 owd=10.113 ms
[1781006069.833766] seq=327 owd=10.125 ms
[1781006069.853669] seq=328 owd=10.112 ms
[1781006069.873606] seq=329 owd=10.050 ms
[1781006069.893731] seq=330 owd=10.070 ms
[1781006069.913821] seq=331 owd=10.156 ms
[1781006069.933671] seq=332 owd=10.114 ms
[1781006069.953604] seq=333 owd=10.049 ms
[1781006069.973787] seq=334 owd=10.126 ms
[1781006069.993708] seq=335 owd=10.066 ms
[1781006070.013601] seq=336 owd=10.045 ms
[1781006070.033768] seq=337 owd=10.127 ms
[1781006070.053796] seq=338 owd=10.132 ms
[1781006070.073671] seq=339 owd=10.112 ms
[1781006070.093766] seq=340 owd=10.125 ms
[1781006070.113711] seq=341 owd=10.133 ms
[1781006070.133671] seq=342 owd=10.112 ms
[1781006070.153714] seq=343 owd=10.079 ms
[1781006070.173812] seq=344 owd=10.138 ms
[1781006070.193819] seq=345 owd=10.134 ms
[1781006070.213796] seq=346 owd=10.134 ms
[1781006070.233799] seq=347 owd=10.133 ms
[1781006070.253794] seq=348 owd=10.133 ms
[1781006070.273803] seq=349 owd=10.136 ms
[1781006070.293714] seq=350 owd=10.139 ms
[1781006070.313797] seq=351 owd=10.134 ms
[1781006070.333798] seq=352 owd=10.133 ms
[1781006070.353798] seq=353 owd=10.134 ms
[1781006070.373803] seq=354 owd=10.140 ms
[1781006070.393747] seq=355 owd=10.079 ms
[1781006070.413665] seq=356 owd=10.083 ms
[1781006070.453689] seq=358 owd=10.123 ms
[1781006070.473676] seq=359 owd=10.117 ms
[1781006070.493678] seq=360 owd=10.118 ms
[1781006070.513675] seq=361 owd=10.116 ms
[1781006070.533786] seq=362 owd=10.124 ms
[1781006070.553796] seq=363 owd=10.133 ms
[1781006070.573797] seq=364 owd=10.132 ms
[1781006070.593724] seq=365 owd=10.061 ms
[1781006070.613727] seq=366 owd=10.057 ms
[1781006070.633723] seq=367 owd=10.056 ms
[1781006070.653729] seq=368 owd=10.054 ms
[1781006070.673752] seq=369 owd=10.053 ms
[1781006070.693722] seq=370 owd=10.055 ms
[1781006070.713637] seq=371 owd=10.064 ms
[1781006070.733647] seq=372 owd=10.057 ms
[1781006070.753631] seq=373 owd=10.056 ms
[1781006070.773630] seq=374 owd=10.055 ms
[1781006070.793716] seq=375 owd=10.051 ms
[1781006070.813716] seq=376 owd=10.052 ms
[1781006070.833728] seq=377 owd=10.139 ms
[1781006070.853719] seq=378 owd=10.137 ms
[1781006070.873649] seq=379 owd=10.067 ms
[1781006070.893658] seq=380 owd=10.077 ms
[1781006070.913831] seq=381 owd=10.151 ms
[1781006070.933805] seq=382 owd=10.138 ms
[1781006070.953713] seq=383 owd=10.137 ms
[1781006070.973799] seq=384 owd=10.134 ms
[1781006070.993706] seq=385 owd=10.134 ms
[1781006071.013703] seq=386 owd=10.133 ms
[1781006071.033795] seq=387 owd=10.134 ms
[1781006071.053807] seq=388 owd=10.137 ms
[1781006071.073809] seq=389 owd=10.134 ms
[1781006071.093798] seq=390 owd=10.134 ms
[1781006071.113797] seq=391 owd=10.133 ms
[1781006071.133815] seq=392 owd=10.152 ms
[1781006071.153742] seq=393 owd=10.074 ms
[1781006071.173795] seq=394 owd=10.134 ms
[1781006071.193823] seq=395 owd=10.157 ms
[1781006071.213797] seq=396 owd=10.135 ms
[1781006071.233794] seq=397 owd=10.132 ms
[1781006071.253805] seq=398 owd=10.144 ms
[1781006071.273799] seq=399 owd=10.134 ms
[1781006071.293729] seq=400 owd=10.066 ms
[1781006071.313797] seq=401 owd=10.134 ms
[1781006071.333717] seq=402 owd=10.136 ms
[1781006071.353713] seq=403 owd=10.133 ms
[1781006071.373715] seq=404 owd=10.134 ms
[1781006071.393663] seq=405 owd=10.067 ms
[1781006071.433655] seq=407 owd=10.078 ms
[1781006071.453701] seq=408 owd=10.123 ms
[1781006071.473663] seq=409 owd=10.093 ms
[1781006071.493691] seq=410 owd=10.133 ms
[1781006071.513675] seq=411 owd=10.116 ms
[1781006071.533676] seq=412 owd=10.117 ms
[1781006071.553796] seq=413 owd=10.134 ms
[1781006071.573797] seq=414 owd=10.134 ms
[1781006071.593796] seq=415 owd=10.132 ms
[1781006071.613811] seq=416 owd=10.140 ms
[1781006071.633804] seq=417 owd=10.140 ms
[1781006071.653811] seq=418 owd=10.136 ms
[1781006071.673800] seq=419 owd=10.137 ms
[1781006071.693796] seq=420 owd=10.134 ms
[1781006071.713683] seq=421 owd=10.113 ms
[1781006071.733645] seq=422 owd=10.055 ms
[1781006071.753632] seq=423 owd=10.055 ms
[1781006071.773631] seq=424 owd=10.056 ms
[1781006071.793715] seq=425 owd=10.140 ms
[1781006071.813809] seq=426 owd=10.134 ms
[1781006071.833801] seq=427 owd=10.134 ms
[1781006071.853794] seq=428 owd=10.133 ms
[1781006071.873795] seq=429 owd=10.132 ms
[1781006071.893802] seq=430 owd=10.134 ms
[1781006071.913877] seq=431 owd=10.135 ms
[1781006071.933801] seq=432 owd=10.134 ms
[1781006071.953811] seq=433 owd=10.143 ms
[1781006071.973797] seq=434 owd=10.136 ms
[1781006071.993800] seq=435 owd=10.133 ms
[1781006072.013705] seq=436 owd=10.135 ms
[1781006072.033796] seq=437 owd=10.132 ms
[1781006072.053806] seq=438 owd=10.141 ms
[1781006072.073712] seq=439 owd=10.133 ms
[1781006072.093807] seq=440 owd=10.141 ms
[1781006072.113801] seq=441 owd=10.134 ms
[1781006072.133814] seq=442 owd=10.133 ms
[1781006072.153798] seq=443 owd=10.133 ms
[1781006072.173800] seq=444 owd=10.133 ms
[1781006072.193800] seq=445 owd=10.134 ms
[1781006072.213799] seq=446 owd=10.136 ms
[1781006072.233799] seq=447 owd=10.133 ms
[1781006072.253803] seq=448 owd=10.138 ms
[1781006072.273798] seq=449 owd=10.133 ms
[1781006072.293802] seq=450 owd=10.134 ms
[1781006072.333740] seq=452 owd=10.077 ms
[1781006072.373797] seq=454 owd=10.134 ms
[1781006072.393800] seq=455 owd=10.135 ms
[1781006072.413808] seq=456 owd=10.137 ms
[1781006072.433807] seq=457 owd=10.136 ms
[1781006072.453704] seq=458 owd=10.135 ms
[1781006072.473751] seq=459 owd=10.072 ms
[1781006072.493736] seq=460 owd=10.066 ms
[1781006072.513805] seq=461 owd=10.142 ms
[1781006072.533738] seq=462 owd=10.070 ms
[1781006072.553714] seq=463 owd=10.138 ms
[1781006072.573836] seq=464 owd=10.173 ms
[1781006072.593805] seq=465 owd=10.139 ms
[1781006072.613807] seq=466 owd=10.139 ms
[1781006072.633800] seq=467 owd=10.135 ms
[1781006072.673633] seq=469 owd=10.066 ms
[1781006072.693598] seq=470 owd=10.036 ms
[1781006072.713599] seq=471 owd=10.039 ms
[1781006072.733636] seq=472 owd=10.066 ms
[1781006072.753702] seq=473 owd=10.132 ms
[1781006072.773701] seq=474 owd=10.133 ms
[1781006072.793601] seq=475 owd=10.041 ms
[1781006072.813632] seq=476 owd=10.066 ms
[1781006072.833708] seq=477 owd=10.140 ms
[1781006072.853712] seq=478 owd=10.144 ms
[1781006072.873700] seq=479 owd=10.133 ms
[1781006072.893672] seq=480 owd=10.112 ms
[1781006072.913632] seq=481 owd=10.066 ms
[1781006072.933613] seq=482 owd=10.050 ms
[1781006072.953702] seq=483 owd=10.135 ms
