# OWD receiver: Rx3-OWD  port=5003
[1781005993.274101] seq=290 owd=40.173 ms
[1781005993.294065] seq=291 owd=40.134 ms
[1781005993.414069] seq=297 owd=40.140 ms
[1781005993.434117] seq=298 owd=40.190 ms
[1781005993.554145] seq=304 owd=40.177 ms
[1781005993.574097] seq=305 owd=40.137 ms
[1781005993.654124] seq=309 owd=40.197 ms
[1781005993.674118] seq=310 owd=40.189 ms
[1781005993.714087] seq=312 owd=40.158 ms
[1781005993.754084] seq=314 owd=40.154 ms
[1781005993.774097] seq=315 owd=40.172 ms
[1781005993.794001] seq=316 owd=40.069 ms
[1781005993.834005] seq=318 owd=40.076 ms
[1781005993.853999] seq=319 owd=40.071 ms
[1781005993.874045] seq=320 owd=40.061 ms
[1781005993.894141] seq=321 owd=40.194 ms
[1781005993.913995] seq=322 owd=40.171 ms
[1781005993.934087] seq=323 owd=40.126 ms
[1781005993.954083] seq=324 owd=40.157 ms
[1781005993.974092] seq=325 owd=40.187 ms
[1781005994.014129] seq=327 owd=40.201 ms
[1781005994.054081] seq=329 owd=40.154 ms
[1781005994.113999] seq=332 owd=40.165 ms
[1781005994.194058] seq=336 owd=40.133 ms
[1781005994.253999] seq=339 owd=40.170 ms
[1781005994.273939] seq=340 owd=40.107 ms
[1781005994.353993] seq=344 owd=40.164 ms
[1781005994.373986] seq=345 owd=40.161 ms
[1781005994.393992] seq=346 owd=40.163 ms
[1781005994.413992] seq=347 owd=40.166 ms
[1781005994.433968] seq=348 owd=40.140 ms
[1781005994.453964] seq=349 owd=40.136 ms
[1781005994.473996] seq=350 owd=40.165 ms
[1781005994.493995] seq=351 owd=40.164 ms
[1781005994.513997] seq=352 owd=40.165 ms
[1781005994.574075] seq=355 owd=40.108 ms
[1781005994.614112] seq=357 owd=40.207 ms
[1781005994.654078] seq=359 owd=40.149 ms
[1781005994.674120] seq=360 owd=40.133 ms
[1781005994.694178] seq=361 owd=40.180 ms
[1781005994.714158] seq=362 owd=40.224 ms
[1781005994.834013] seq=368 owd=40.192 ms
[1781005994.873981] seq=370 owd=40.158 ms
[1781005994.913963] seq=372 owd=40.141 ms
[1781005994.953874] seq=374 owd=40.049 ms
[1781005994.973988] seq=375 owd=40.162 ms
[1781005994.994022] seq=376 owd=40.190 ms
[1781005995.013993] seq=377 owd=40.162 ms
[1781005995.033994] seq=378 owd=40.162 ms
[1781005995.093935] seq=381 owd=40.122 ms
[1781005995.114025] seq=382 owd=40.071 ms
[1781005995.134151] seq=383 owd=40.134 ms
[1781005995.293995] seq=391 owd=40.167 ms
[1781005995.313991] seq=392 owd=40.164 ms
[1781005995.354001] seq=394 owd=40.166 ms
[1781005995.394071] seq=396 owd=40.148 ms
[1781005995.494097] seq=401 owd=40.169 ms
[1781005995.514114] seq=402 owd=40.187 ms
[1781005995.534069] seq=403 owd=40.140 ms
[1781005995.574065] seq=405 owd=40.162 ms
[1781005995.614032] seq=407 owd=40.130 ms
[1781005995.673917] seq=410 owd=40.085 ms
[1781005995.714025] seq=412 owd=40.097 ms
[1781005995.753916] seq=414 owd=40.073 ms
[1781005995.774008] seq=415 owd=40.083 ms
[1781005995.793978] seq=416 owd=40.145 ms
[1781005995.834068] seq=418 owd=40.134 ms
[1781005995.913899] seq=422 owd=40.062 ms
[1781005995.953942] seq=424 owd=40.102 ms
[1781005995.993918] seq=426 owd=40.084 ms
[1781005996.013887] seq=427 owd=40.062 ms
[1781005996.033911] seq=428 owd=40.082 ms
[1781005996.053918] seq=429 owd=40.087 ms
[1781005996.073931] seq=430 owd=40.098 ms
[1781005996.093931] seq=431 owd=40.098 ms
[1781005996.113914] seq=432 owd=40.082 ms
[1781005996.133935] seq=433 owd=40.103 ms
[1781005996.153894] seq=434 owd=40.067 ms
[1781005996.193903] seq=436 owd=40.072 ms
[1781005996.213932] seq=437 owd=40.099 ms
[1781005996.233921] seq=438 owd=40.090 ms
[1781005996.253932] seq=439 owd=40.100 ms
[1781005996.313924] seq=442 owd=40.092 ms
[1781005996.333935] seq=443 owd=40.104 ms
[1781005996.353921] seq=444 owd=40.089 ms
[1781005996.393999] seq=446 owd=40.080 ms
[1781005996.533998] seq=453 owd=40.072 ms
[1781005996.553997] seq=454 owd=40.070 ms
