# OWD receiver: Rx3-OWD  port=5003
[1781068415.486863] seq=752 owd=40.111 ms
[1781068415.506884] seq=753 owd=40.130 ms
[1781068415.526884] seq=754 owd=40.128 ms
[1781068415.566894] seq=756 owd=40.138 ms
[1781068415.626789] seq=759 owd=40.118 ms
[1781068415.646885] seq=760 owd=40.132 ms
[1781068415.666869] seq=761 owd=40.109 ms
[1781068415.686881] seq=762 owd=40.127 ms
[1781068415.726859] seq=764 owd=40.105 ms
[1781068415.746890] seq=765 owd=40.136 ms
[1781068415.786890] seq=767 owd=40.138 ms
[1781068415.806888] seq=768 owd=40.134 ms
[1781068415.826894] seq=769 owd=40.134 ms
[1781068415.846892] seq=770 owd=40.136 ms
[1781068415.866908] seq=771 owd=40.156 ms
[1781068415.906822] seq=773 owd=40.071 ms
[1781068415.926852] seq=774 owd=40.095 ms
[1781068415.946904] seq=775 owd=40.149 ms
[1781068416.006790] seq=778 owd=40.152 ms
[1781068416.046810] seq=780 owd=40.151 ms
[1781068416.086728] seq=782 owd=40.071 ms
[1781068416.126745] seq=784 owd=40.099 ms
[1781068416.146904] seq=785 owd=40.121 ms
[1781068416.166852] seq=786 owd=40.077 ms
[1781068416.186795] seq=787 owd=40.137 ms
[1781068416.206787] seq=788 owd=40.124 ms
[1781068416.226850] seq=789 owd=40.090 ms
[1781068416.246785] seq=790 owd=40.052 ms
[1781068416.266801] seq=791 owd=40.096 ms
[1781068416.286769] seq=792 owd=40.111 ms
[1781068416.306919] seq=793 owd=40.136 ms
[1781068416.326880] seq=794 owd=40.129 ms
[1781068416.346841] seq=795 owd=40.085 ms
[1781068416.386883] seq=797 owd=40.148 ms
[1781068416.406889] seq=798 owd=40.136 ms
[1781068416.426886] seq=799 owd=40.133 ms
[1781068416.446889] seq=800 owd=40.135 ms
[1781068416.466910] seq=801 owd=40.154 ms
[1781068416.486886] seq=802 owd=40.135 ms
[1781068416.506911] seq=803 owd=40.154 ms
[1781068416.526892] seq=804 owd=40.133 ms
[1781068416.546892] seq=805 owd=40.137 ms
[1781068416.586816] seq=807 owd=40.156 ms
[1781068416.606871] seq=808 owd=40.114 ms
[1781068416.646774] seq=810 owd=40.112 ms
[1781068416.666777] seq=811 owd=40.115 ms
[1781068416.686897] seq=812 owd=40.143 ms
[1781068416.706904] seq=813 owd=40.151 ms
[1781068416.746906] seq=815 owd=40.155 ms
[1781068416.806889] seq=818 owd=40.139 ms
[1781068416.846895] seq=820 owd=40.140 ms
[1781068416.886810] seq=822 owd=40.150 ms
[1781068416.906800] seq=823 owd=40.135 ms
[1781068416.946891] seq=825 owd=40.141 ms
[1781068416.966884] seq=826 owd=40.144 ms
[1781068417.006893] seq=828 owd=40.138 ms
[1781068417.026805] seq=829 owd=40.151 ms
[1781068417.066888] seq=831 owd=40.135 ms
[1781068417.086911] seq=832 owd=40.158 ms
[1781068417.106891] seq=833 owd=40.135 ms
[1781068417.146799] seq=835 owd=40.140 ms
[1781068417.166902] seq=836 owd=40.149 ms
[1781068417.206853] seq=838 owd=40.096 ms
[1781068417.226887] seq=839 owd=40.121 ms
[1781068417.246705] seq=840 owd=40.046 ms
[1781068417.286793] seq=842 owd=40.135 ms
[1781068417.306715] seq=843 owd=40.059 ms
[1781068417.326801] seq=844 owd=40.053 ms
[1781068417.346684] seq=845 owd=40.034 ms
[1781068417.366798] seq=846 owd=40.035 ms
[1781068417.466813] seq=851 owd=40.064 ms
[1781068417.506789] seq=853 owd=40.050 ms
[1781068417.546905] seq=855 owd=40.152 ms
[1781068417.566909] seq=856 owd=40.157 ms
[1781068417.586906] seq=857 owd=40.147 ms
[1781068417.626915] seq=859 owd=40.135 ms
[1781068417.646809] seq=860 owd=40.140 ms
[1781068417.666900] seq=861 owd=40.147 ms
[1781068417.686890] seq=862 owd=40.135 ms
[1781068417.706834] seq=863 owd=40.076 ms
[1781068417.746889] seq=865 owd=40.071 ms
[1781068417.786824] seq=867 owd=40.061 ms
[1781068417.846811] seq=870 owd=40.062 ms
[1781068417.866827] seq=871 owd=40.074 ms
[1781068417.886801] seq=872 owd=40.049 ms
[1781068417.906825] seq=873 owd=40.072 ms
